movies id,title,year,rating,genre,scaled_rating
361913,Four Pillars of Basement,2015.0,10.0,Drama,1.0
361410,Nayee Padosan,2003.0,5.0,Drama,0.5
360168,Hyderabad Nawabs,2006.0,6.0,Drama,0.6000000000000001
358794,Maseeha,2002.0,0.0,Drama,0.0
353811,Baat Ek Raat Ki,1962.0,6.0,Drama,0.6000000000000001
351947,Final Solution,2004.0,7.3,Drama,0.73
347797,Awakenings,2015.0,7.0,Drama,0.7000000000000001
343404,Aanch,2003.0,8.0,Drama,0.8
339237,Tara: The Journey of Love and Passion,2013.0,6.0,Romance,0.6000000000000001
337497,Mohan Joshi Hazir Ho!,1984.0,0.0,Drama,0.0
335361,Baga Beach,2013.0,1.0,Drama,0.1
334549,This Is Not Our Destination,1987.0,0.0,Drama,0.0
333937,Brahma,1994.0,3.0,Drama,0.30000000000000004
331563,Asli Naqli,1986.0,0.0,Drama,0.0
331394,Monsoon,2015.0,7.0,Drama,0.7000000000000001
331302,Badmashiyaan,2015.0,5.0,Drama,0.5
330467,Life Express,2010.0,6.0,Drama,0.6000000000000001
328628,Rough Book,2016.0,6.8,Drama,0.68
326781,Haqeeqat,1964.0,5.0,Drama,0.5
322289,Sanjh Aur Savera,1964.0,0.0,Drama,0.0
322268,Phulwari,1984.0,0.0,Action,0.0
320133,Tejasvini,1994.0,7.0,Drama,0.7000000000000001
319955,Jeevan Mrityu,1970.0,5.8,Drama,0.58
316816,Nai Roshni,1967.0,0.0,Drama,0.0
316437,Soul of Sand,2011.0,5.0,Drama,0.5
316200,Supari,2003.0,0.0,Drama,0.0
316195,Jawaab,1985.0,0.0,Drama,0.0
313842,Kath Putli,1957.0,5.0,Drama,0.5
312634,Sheesha,1986.0,8.5,Drama,0.8500000000000001
311405,Mera Pati Sirf Mera Hai,1990.0,4.0,Drama,0.4
310782,Apna Desh,1972.0,1.0,Drama,0.1
310637,Chhota Chetan,1998.0,7.0,Drama,0.7000000000000001
309494,Kanoon Apna Apna,1989.0,4.0,Drama,0.4
308470,Kabuliwala,1961.0,7.0,Drama,0.7000000000000001
308230,Nazrana,1961.0,0.0,Drama,0.0
308228,Nauker,1979.0,6.5,Drama,0.65
308088,Jaanoo,1985.0,10.0,Drama,1.0
308059,Love You Hamesha,2022.0,0.0,Romance,0.0
307884,Do Kaliyan,1968.0,4.0,Drama,0.4
307788,Bada Kabutar,1973.0,0.0,Drama,0.0
307786,Pratiggya,1975.0,3.0,Drama,0.30000000000000004
307598,Pocket Maar,1956.0,0.0,Drama,0.0
307513,Kuchhe Dhaage,1973.0,0.0,Drama,0.0
307501,Badaltey Rishtey,1978.0,5.0,Drama,0.5
307211,Chaarfutiya Chhokare,2014.0,0.0,Drama,0.0
306446,Pyar Ka Mausam,1969.0,4.5,Drama,0.45
306361,Phir Wohi Dil Laya Hoon,1963.0,6.0,Drama,0.6000000000000001
306140,Chandi Sona,1977.0,0.0,Drama,0.0
305234,Double Cross,1973.0,0.0,Drama,0.0
304919,Anjaana,1969.0,0.0,Drama,0.0
304597,Sohni Mahiwal,1958.0,0.0,Drama,0.0
304584,Ek Phool Char Kaante,1960.0,5.0,Drama,0.5
304527,Angaaray,1986.0,0.0,Drama,0.0
304517,Amar Shakti,1978.0,10.0,Drama,1.0
304267,Kundan,1955.0,4.0,Drama,0.4
304195,Babar,1960.0,5.0,Drama,0.5
304135,Zindagi Zindagi,1972.0,0.0,Drama,0.0
304071,Anjane Mein,1978.0,0.0,Drama,0.0
302549,Mission Mumbai,2004.0,0.0,Drama,0.0
302251,Raat Aur Din,1967.0,5.5,Drama,0.55
302206,Meri Padosan,2009.0,0.0,Drama,0.0
302170,Impatient Vivek,2011.0,2.0,Drama,0.2
302141,Calapor,2013.0,0.0,Drama,0.0
302138,Bewafa,1952.0,0.0,Drama,0.0
301192,Rakhi Aur Hathkadi,1972.0,0.0,Drama,0.0
300437,Peechha Karro,1986.0,0.0,Drama,0.0
300333,Aafat,1977.0,0.0,Drama,0.0
295735,Khajuraho,2002.0,0.0,Drama,0.0
285381,Haveli,1985.0,5.0,Drama,0.5
279228,Babul,1950.0,0.0,Drama,0.0
279192,Woman,1940.0,5.0,Drama,0.5
278264,What the Fish,2013.0,5.5,Drama,0.55
277700,Tera Jadoo Chal Gayaa,2000.0,5.0,Drama,0.5
275703,Bahut Din Hue,1954.0,0.0,Drama,0.0
275702,Bow Barracks Forever,2004.0,0.0,Drama,0.0
274714,Chor Police,1983.0,0.0,Crime,0.0
272204,Ghar Bazar,1998.0,0.0,Drama,0.0
272166,Amar,1954.0,0.0,Drama,0.0
265651,Trishagni,1988.0,6.8,Drama,0.68
260655,Tarang,1984.0,5.0,Drama,0.5
253713,Login,2012.0,5.5,Drama,0.55
244736,Souten Ki Beti,1989.0,10.0,Drama,1.0
244323,Yeh Jo Mohabbat Hai,2012.0,0.0,Drama,0.0
244322,Milta Hai Chance by Chance,2011.0,0.0,Drama,0.0
242618,Om Dar-B-Dar,1988.0,7.4,Drama,0.7400000000000001
232790,Saas Bhi Kabhi Bahu Thi,1970.0,0.0,Drama,0.0
224892,Shorts,2013.0,0.0,Drama,0.0
212045,Ek Se Badhkar Ek,1976.0,0.0,Drama,0.0
190873,Ek Nazar,1972.0,7.0,Drama,0.7000000000000001
189800,Gippi,2013.0,6.0,Drama,0.6000000000000001
178529,Taj Mahal,1963.0,6.5,Drama,0.65
172681,Anuraag,1972.0,0.0,Drama,0.0
172662,Himalay Ki Godmein,1965.0,5.0,Drama,0.5
160251,Guddu,1995.0,6.5,Drama,0.65
150731,Hum Kisise Kum Naheen,1977.0,6.8,Drama,0.68
149082,Jalpari,2012.0,6.5,Drama,0.65
147358,Cigarette ki Tarah,2012.0,6.5,Drama,0.65
147195,Maa,1976.0,10.0,Drama,1.0
143879,Jaan Se Pyara,1992.0,4.8,Drama,0.48
136216,Ek Nari Ek Brahmachari,1971.0,5.5,Drama,0.55
128132,Mumbai's King,2012.0,6.6,Historical,0.66
113024,Jwalamukhi,1980.0,4.0,Drama,0.4
110865,Dahleez,1986.0,1.0,Drama,0.1
109434,Kasak,2005.0,2.0,Drama,0.2
108372,Kal Ki Awaz,1992.0,3.0,Drama,0.30000000000000004
101832,Om,2003.0,5.3,Drama,0.53
96276,Sadda Adda,2012.0,6.8,Drama,0.68
86005,Staying Alive,2012.0,0.0,Drama,0.0
84238,Chaalis Chauraasi,2012.0,6.0,Drama,0.6000000000000001
77030,Bubble Gum,2011.0,4.3,Drama,0.43
72583,Tera Kya Hoga Johnny,2010.0,1.0,Drama,0.1
59868,Turning 30,2011.0,3.2,Drama,0.32000000000000006
59258,Dhokha,2007.0,7.3,Drama,0.73
42662,Aakhari Decision,2010.0,2.0,Drama,0.2
37438,"Road, Movie",2010.0,5.6,Drama,0.5599999999999999
20915,Straight,2009.0,3.8,Drama,0.38
20452,Perfect Mismatch,2009.0,6.0,Drama,0.6000000000000001
758393,Main Sunder Hoon,1971.0,4.0,Drama,0.4
403409,Kerry on Kutton,2016.0,6.5,Drama,0.65
168495,Henna,1991.0,5.0,Drama,0.5
751640,376 D,2020.0,2.5,Drama,0.25
110846,Brahmachari,1968.0,7.1,Drama,0.71
319570,Shehzada,1972.0,0.0,Drama,0.0
303090,Janani,2006.0,4.0,Drama,0.4
499391,Kriti,2016.0,6.5,Drama,0.65
492793,Carbon: A Story of Tomorrow,2017.0,5.0,Drama,0.5
950173,Night Club,1958.0,0.0,Drama,0.0
491630,Pashmeena,2023.0,0.0,Drama,0.0
440873,Insaniyat,1955.0,0.0,Drama,0.0
215553,Banarasi Babu,1997.0,3.5,Drama,0.35000000000000003
78467,Soundtrack,2011.0,6.6,Drama,0.66
922860,Teesra Kinara,1986.0,0.0,Drama,0.0
884408,The Good Maharaja,2023.0,0.0,Drama,0.0
482199,Telephone,1985.0,0.0,Drama,0.0
1183156,U Shape Ki Gully,2023.0,0.0,Drama,0.0
764684,The River of Love,2021.0,0.0,Romance,0.0
305833,Mr. Romeo,1973.0,0.0,Drama,0.0
112967,Anth,1994.0,4.7,Drama,0.47000000000000003
365017,Debshishu,1985.0,0.0,Drama,0.0
303387,Haadsaa,1983.0,10.0,Drama,1.0
108338,Sawan Ki Ghata,1966.0,7.0,Drama,0.7000000000000001
941759,Jawani Ki Hawa,1935.0,0.0,Drama,0.0
504403,Mohabbat Ki Kasam,1986.0,0.0,Drama,0.0
504018,Daak Ghar,2017.0,0.0,Drama,0.0
495787,Fire and Flames,1986.0,0.0,Drama,0.0
112318,Fatso!,2012.0,5.2,Drama,0.52
709031,Mahal,2002.0,0.0,Drama,0.0
395339,Teraa Surroor,2016.0,6.3,Drama,0.63
192535,Kinara,1977.0,0.0,Drama,0.0
33147,Jumbo,2008.0,8.0,Drama,0.8
919286,Chalta Hai Yaar,2005.0,0.0,Drama,0.0
603255,Lihaaf: The Quilt,2019.0,6.0,Drama,0.6000000000000001
402050,Anubhav,1971.0,10.0,Drama,1.0
282039,Zindagi Tere Naam,2012.0,0.0,Drama,0.0
965026,Two Sisters And A Husband,2022.0,0.0,Drama,0.0
568030,Little Singham aur Kaal ka Mahajaal,2018.0,0.0,Drama,0.0
547723,Silvat,2018.0,6.0,Drama,0.6000000000000001
526222,Maa Where Are You...,2005.0,0.0,Drama,0.0
306425,Laila Majnu,1953.0,0.0,Drama,0.0
1022451,Prabhas-Siddharth Anand film,2023.0,0.0,Drama,0.0
231785,Himmatwala,1983.0,4.3,Drama,0.43
665667,Beti,1969.0,0.0,Drama,0.0
628853,Nastik,1954.0,0.0,Drama,0.0
543950,Do Bhai,1969.0,0.0,Drama,0.0
360915,Chetna,2005.0,4.0,Drama,0.4
325885,Eight Days,1946.0,0.0,Drama,0.0
304977,Dhoop Chhaon,1935.0,0.0,Drama,0.0
1193539,Nai Duniya Naye Log,1973.0,0.0,Drama,0.0
1082474,Kangana Ranaut's Binodini,2023.0,0.0,Drama,0.0
703943,Khuda Kasam,1981.0,0.0,Drama,0.0
522384,Trimurti,1974.0,0.0,Drama,0.0
464123,Ajab Singh ki Gazab Kahani,2017.0,5.0,Drama,0.5
241380,Navrang,1959.0,4.8,Drama,0.48
72580,Gandhi to Hitler,2011.0,2.0,Drama,0.2
1201863,Ek Ruka Hua Faisla,2023.0,0.0,Drama,0.0
679729,Aakash Deep,1965.0,0.0,Drama,0.0
445988,Prem Shakti,1994.0,4.0,Drama,0.4
426026,Afsana,1951.0,0.0,Drama,0.0
307862,Impassioned Eyes,1950.0,0.0,Drama,0.0
916468,Khudai,1994.0,0.0,Drama,0.0
872873,Seepeeyan,1984.0,0.0,Drama,0.0
308212,Laparwah,1981.0,0.0,Drama,0.0
1193575,Kadambari,1976.0,0.0,Drama,0.0
107232,Janmabhoomi,1936.0,0.0,Drama,0.0
1197700,Yeh Kaisa Insaf?,1980.0,0.0,Drama,0.0
904222,Aao Pyaar Karen,1964.0,0.0,Drama,0.0
327905,Chal Bhaag,2014.0,4.0,Drama,0.4
307619,Shriman Satyawadi,1960.0,0.0,Drama,0.0
945188,Haseenon Ka Devata,1971.0,0.0,Drama,0.0
589287,Inshallah,2023.0,0.0,Drama,0.0
543943,Chorni,1982.0,0.0,Drama,0.0
532018,Safari,1999.0,3.0,Drama,0.30000000000000004
406247,Zabardast,2011.0,8.0,Drama,0.8
616434,Dil Ka Doctor,1995.0,0.0,Drama,0.0
348752,Smuggler,1996.0,0.0,Drama,0.0
304177,Anokhi Raat,1968.0,0.0,Drama,0.0
67181,Krishna - The Birth,2006.0,10.0,Drama,1.0
306370,Ram Aur Shyam,1967.0,7.8,Drama,0.78
172281,Azaad,1955.0,0.0,Drama,0.0
310646,Ekka Raja Rani,1994.0,5.5,Drama,0.55
306161,Kaajal,1965.0,3.0,Drama,0.30000000000000004
276049,Aap Kaa Surroor,2007.0,3.9,Drama,0.39
1115722,Qaidi,1984.0,3.0,Drama,0.30000000000000004
1005722,Rakhwale,1994.0,8.0,Drama,0.8
823618,Ek Aur Sikander,1986.0,10.0,Drama,1.0
335273,Kondura,1978.0,10.0,Drama,1.0
304221,Grahasti,1963.0,0.0,Drama,0.0
446796,Divya Shakti,1993.0,4.8,Drama,0.48
1190069,The Last Envelope,2023.0,7.0,Drama,0.7000000000000001
110642,Shakal Pe Mat Ja,2011.0,0.0,Drama,0.0
583696,Shagoon,1964.0,0.0,Drama,0.0
271210,12 O'Clock,1958.0,7.0,Drama,0.7000000000000001
571293,Chandaal,1998.0,9.5,Drama,0.9500000000000001
897604,Crime and Punishment,1924.0,0.0,Crime,0.0
824536,Motu Patlu in the Game of Zones,2020.0,10.0,Drama,1.0
20491,Let's Dance,2009.0,0.0,Drama,0.0
20454,Dil Dosti Etc,2007.0,7.2,Drama,0.7200000000000001
1107030,The Homecoming,2015.0,0.0,Drama,0.0
304095,Chakkar Pe Chakkar,1977.0,0.0,Drama,0.0
837134,Baikunth,2021.0,0.0,Drama,0.0
770218,Apne 2,2023.0,0.0,Drama,0.0
535455,Zameen Aasmaan,1984.0,0.0,Drama,0.0
369212,Lalkar (The Challenge),1972.0,0.0,Drama,0.0
506647,Woh,2013.0,0.0,Drama,0.0
497809,68 Pages,2007.0,4.0,Drama,0.4
276448,Naya Zamana,1971.0,0.0,Drama,0.0
714211,The Black Cloud,1951.0,0.0,Drama,0.0
501094,Nishana,1980.0,0.0,Drama,0.0
48386,Achanak,1973.0,4.5,Drama,0.45
714731,Copy,2018.0,0.0,Drama,0.0
680430,Insaaf Ki Awaaz,1986.0,9.5,Drama,0.9500000000000001
511746,Khwab,1980.0,0.0,Drama,0.0
307490,Aaj Ka Arjun,1990.0,6.7,Drama,0.67
629551,Good News,2019.0,0.0,Drama,0.0
340007,Zabak,1961.0,0.0,Drama,0.0
298923,Roar,2014.0,5.4,Drama,0.54
1203076,Smuggler,1966.0,0.0,Drama,0.0
