movies id,title,year,rating,genre
190940,Bombay Talkies,2013.0,6.4,Drama
19658,Race,2008.0,6.1,Drama
413646,Badrinath Ki Dulhania,2017.0,6.4,Drama
46387,Hum Aapke Hain Koun..!,1994.0,6.4,Drama
1063708,Joram,2023.0,0.0,Drama
734780,Sardar Ka Grandson,2021.0,7.6,Drama
21175,Lakshya,2004.0,6.6,Drama
441906,Jab Harry Met Sejal,2017.0,6.5,Drama
4157,Heyy Babyy,2007.0,5.9,Drama
125225,Star,1982.0,5.8,Drama
20534,Murder,2004.0,5.0,Drama
26277,Mujhse Dosti Karoge!,2002.0,6.3,Drama
25516,Koi... Mil Gaya,2003.0,6.9,Drama
1046620,The Vaccine War,2023.0,7.5,Action
533148,Ek Ladki Ko Dekha Toh Aisa Laga,2019.0,5.7,Drama
20688,Kaminey,2009.0,6.8,Drama
415358,Pink,2016.0,7.4,Drama
418235,Lipstick Under My Burkha,2017.0,6.8,Drama
733038,Pippa,2023.0,4.5,Drama
663457,Govinda Naam Mera,2022.0,5.2,Drama
682401,Ek Villain Returns,2022.0,6.3,Drama
805785,Fukrey 3,2023.0,6.1,Drama
735919,AK vs AK,2020.0,6.9,Drama
58128,Andaz Apna Apna,1994.0,6.8,Drama
849775,Bye 2,2020.0,0.0,Drama
34764,Karthik Calling Karthik,2010.0,6.2,Drama
393562,Raman Raghav 2.0,2016.0,7.1,Drama
917,Mother India,1957.0,7.2,Drama
102632,Rowdy Rathore,2012.0,5.9,Drama
14546,Golmaal Returns,2008.0,5.0,Drama
744676,Ginny Weds Sunny,2020.0,6.4,Drama
191121,Raanjhanaa,2013.0,6.5,Drama
541495,The Man Who Feels No Pain,2019.0,6.6,Drama
900783,The Kashmir Files,2022.0,7.1,Drama
413884,Half Girlfriend,2017.0,6.5,Drama
695958,The Girl on the Train,2021.0,5.9,Drama
601807,Mrs. Serial Killer,2020.0,6.3,Drama
19703,A Wednesday!,2008.0,6.9,Drama
41188,Bhagam Bhag,2006.0,6.5,Drama
235984,Goliyon Ki Raasleela Ram-Leela,2013.0,7.0,Drama
208036,Ramaiya Vastavaiya,2013.0,6.2,Drama
778946,Mission Majnu,2023.0,6.8,Drama
471919,Lucknow Central,2017.0,6.4,Drama
247645,Queen,2014.0,7.4,Historical
191726,Ugly,2013.0,6.9,Drama
280795,Haider,2014.0,7.2,Drama
44613,Lafangey Parindey,2010.0,5.8,Drama
161226,Biwi No.1,1999.0,6.0,Drama
105379,Blood Money,2012.0,6.1,Drama
126400,Gangs of Wasseypur - Part 2,2012.0,7.9,Drama
25638,Laaga Chunari Mein Daag,2007.0,5.5,Drama
965606,Bholaa,2023.0,6.4,Drama
21461,Lage Raho Munna Bhai,2006.0,7.2,Drama
966719,Kisi Ka Bhai... Kisi Ki Jaan,2023.0,5.7,Drama
30886,Veer,2010.0,5.2,Drama
19657,Baazigar,1993.0,6.9,Drama
14165,Ta Ra Rum Pum,2007.0,6.2,Drama
577328,Kabir Singh,2019.0,6.5,Drama
21570,Rangeela,1995.0,6.9,Drama
801526,Darlings,2022.0,6.9,Drama
291157,Khoobsurat,2014.0,6.6,Drama
598826,Sardar Udham,2021.0,7.2,Drama
1215760,Award,2023.0,0.0,Action
58333,Tanu Weds Manu,2011.0,6.8,Drama
915831,"Monica, O My Darling",2022.0,7.1,Drama
20492,Life in a Metro,2007.0,6.3,Drama
38022,Amar Akbar Anthony,1977.0,6.8,Drama
44565,Khatta Meetha,2010.0,5.6,Drama
19670,Golmaal - Fun Unlimited,2006.0,6.6,Drama
12273,Singh Is Kinng,2008.0,5.6,Drama
14159,Aaja Nachle,2007.0,6.3,Drama
681235,Torbaaz,2020.0,8.4,Drama
39039,Awaara,1951.0,7.2,Drama
569584,Why Cheat India,2019.0,5.5,Drama
1205021,Rambo,2025.0,0.0,Drama
533991,Stree,2018.0,7.0,Drama
594669,Baaghi 3,2020.0,6.8,Drama
29538,Pyaar Impossible!,2010.0,4.7,Drama
16344,Luck by Chance,2009.0,6.6,Drama
39837,Yaadein,2001.0,5.5,Drama
97351,Phir Bhi Dil Hai Hindustani,2000.0,6.5,Drama
33202,Jo Jeeta Wohi Sikandar,1992.0,7.1,Drama
392572,Rustom,2016.0,6.9,Drama
118051,Cocktail,2012.0,6.2,Drama
454776,Fukrey Returns,2017.0,6.5,Drama
1160562,Friday Night Plan,2023.0,6.0,Drama
661043,Malang,2020.0,7.1,Drama
413547,Kahaani 2,2016.0,6.7,Drama
465642,Parmanu: The Story of Pokhran,2018.0,7.0,Drama
563987,Pihu,2018.0,7.6,Drama
26237,Anand,1971.0,7.0,Drama
439128,Newton,2017.0,7.1,Drama
472123,Golmaal Again,2017.0,5.4,Drama
273886,Holiday,2014.0,6.2,Drama
14214,Thoda Pyaar Thoda Magic,2008.0,5.4,Drama
413727,Hotel Salvation(Mukti Bhawan),2016.0,6.8,Drama
325892,Hunterrr,2015.0,6.3,Drama
577332,Panipat,2019.0,6.3,Drama
401285,Jagga Jasoos,2017.0,6.1,Drama
21614,Hera Pheri,2000.0,7.0,Drama
877655,Dangerous,2022.0,1.0,Drama
496339,Dabangg 3,2019.0,5.5,Drama
33457,Nayak: The Real Hero,2001.0,7.1,Drama
41903,Mr. India,1987.0,6.7,Drama
45129,Salaam Bombay!,1988.0,7.3,Drama
74458,Mere Brother Ki Dulhan,2011.0,6.1,Drama
393441,Dishoom,2016.0,5.4,Drama
460868,The Accidental Prime Minister,2019.0,5.2,Drama
168114,Murder 3,2013.0,3.6,Drama
228355,Boss,2013.0,5.5,Drama
913838,All That Breathes,2022.0,6.8,Drama
244237,Jai Ho,2014.0,4.9,Drama
191562,Go Goa Gone,2013.0,5.7,Drama
14705,Omkara,2006.0,6.8,Drama
185640,Commando - A One Man Army,2013.0,6.4,Drama
19025,Bhool Bhulaiyaa,2007.0,6.6,Drama
606535,Shubh Mangal Zyada Saavdhan,2020.0,6.0,Drama
20132,Kaal,2005.0,4.2,Drama
671909,Yeh Ballet,2020.0,7.5,Drama
107745,Saajan,1991.0,6.4,Drama
93519,Karan Arjun,1995.0,6.7,Drama
81273,The Dirty Picture,2011.0,6.2,Drama
287499,Margarita with a Straw,2015.0,6.9,Drama
21566,Raja Hindustani,1996.0,6.4,Drama
391779,Housefull 3,2016.0,5.2,Drama
77864,That Girl in Yellow Boots,2010.0,5.7,Drama
523277,Manmarziyaan,2018.0,7.0,Drama
402672,Mohenjo Daro,2016.0,6.2,Drama
744876,Kaali Khuhi,2020.0,4.5,Drama
336790,ABCD 2,2015.0,5.6,Drama
534075,Super 30,2019.0,7.4,Drama
591101,Mardaani 2,2019.0,7.1,Drama
30627,Kaala Patthar,1979.0,7.3,Drama
85052,Housefull 2,2012.0,5.4,Drama
37822,Badmaash Company,2010.0,5.8,Drama
25511,London Dreams,2009.0,5.1,Drama
24595,Blue,2009.0,4.0,Drama
396643,A Flying Jatt,2016.0,3.1,Drama
21297,Wake Up Sid,2009.0,7.1,Drama
20002,Chandni Chowk to China,2009.0,4.6,Drama
695962,Bhool Bhulaiyaa 2,2022.0,6.2,Drama
603673,Laxmii,2020.0,4.9,Drama
42966,Once Upon a Time in Mumbaai,2010.0,6.6,Drama
496527,October,2018.0,6.8,Drama
46418,Rehnaa Hai Terre Dil Mein,2001.0,6.3,Drama
5319,Hum Dil De Chuke Sanam,1999.0,6.3,Drama
20365,Hello,2008.0,5.7,Drama
46040,Tees Maar Khan,2010.0,3.8,Drama
471972,Chef,2017.0,5.3,Drama
